,rgi_id,t_star,mu_star,prcp_fac,bias,err_perc
0,RGI50-11.A14J11n-1,,53.0,0.7500000000000002,4.74359001873305e-05,-0.07798202578075976
0,RGI50-11.A14J11n-2,,65.5,1.0500000000000005,2.3640806626416316e-06,-0.01740893023677625
0,RGI50-11.A14J11n-3,,13.0,0.2500000000000001,3.465922923951156e-05,-0.06665771004954227
0,RGI50-11.A14K04n-0,,77.5,1.8500000000000003,0.01351001763090782,-1.6118790932131428
0,RGI50-11.A14K04n-1,,21.5,0.5500000000000002,0.0001421936456153527,-0.16536538218198354
0,RGI50-11.A14L03,,59.25,0.7500000000000002,0.00012438537322096094,-0.07880737048172755
0,RGI50-11.A14L04-0,,65.0,1.3500000000000003,0.00018824986775878308,-0.10737531628481414
0,RGI50-11.A14L04-1,,30.5,0.7500000000000002,0.0010393204003237586,-0.25229685808114866
0,RGI50-11.A14L07-0,,43.0,1.5500000000000005,0.00015175653217443778,-0.07526240301004049
0,RGI50-11.A14L07-1,,6.25,0.2500000000000001,0.00016203503952973025,-0.07776941880291817
0,RGI50-11.A14L20,,45.75,0.7500000000000002,0.00012671211385505978,-0.15849968376060747
0,RGI50-11.A14M04-0,,19.25,0.7500000000000002,0.003492620242290028,-0.2607588889120078
0,RGI50-11.A14M04-1,,3.75,0.15000000000000002,0.013671469779874549,-0.5159065501663532
0,RGI50-11.A14M08-0,,78.75,1.8500000000000003,0.0005279823764205192,-0.10530644866648203
0,RGI50-11.A14M08-1,,9.75,0.35000000000000003,0.01936063921375903,-0.6376833824078469
0,RGI50-11.A14M11,,61.0,0.35000000000000003,2.340348274234626e-06,-0.005643841536328437
0,RGI50-11.A14N03,,42.0,0.7500000000000002,0.010291330288154028,-0.3556395935304225
0,RGI50-11.A14N10-0,,75.5,1.3500000000000003,0.14836914334518408,-1.5776013829482232
0,RGI50-11.A14N10-1,,15.25,0.05,0.00013628533889016388,-0.04781344685257848
0,RGI50-11.A14N10-2,,56.25,0.5500000000000002,4.6585321734241136e-08,-0.0008839954574666547
0,RGI50-11.A14N10-3,,7.75,0.2500000000000001,0.0012798775791640776,-0.1465243148586716
0,RGI50-11.A14N12n,,66.25,1.4500000000000004,0.005050647010172783,-0.5086815848518076
0,RGI50-11.A14P05,,42.125,0.35000000000000003,4.7322207556792607e-05,-0.04349190026055457
0,RGI50-11.A14P07-0,,77.25,0.7500000000000002,0.0005199388381255557,-0.10494853131925896
0,RGI50-11.A14P07-1,,49.75,0.35000000000000003,0.0013012939107271508,-0.16603052241634927
0,RGI50-11.A14P07-2,,58.75,0.2500000000000001,0.0006749888357984688,-0.11957724148518482
0,RGI50-11.A14P07-3,,10.75,0.05,0.0002915417163965297,-0.07858697802454254
0,RGI50-11.A15B02-0,,75.0,0.4500000000000001,0.0033297614049546662,-0.33414838624329435
0,RGI50-11.A15B02-1,,44.125,0.25,0.00020481501596315672,-0.08287312341504649
0,RGI50-11.A15B02-2,,12.5,0.15000000000000002,0.0025278333207172823,-0.2911434524067112
0,RGI50-11.A15B02-5,,73.25,0.7500000000000002,0.005750568494896734,-0.4391250384631884
0,RGI50-11.A15B06n-0,,60.25,1.3500000000000003,0.00013075016591878845,-0.05311009698629368
0,RGI50-11.A15B06n-1,,36.75,0.6500000000000001,5.550911110275365e-06,-0.010943043020571372
0,RGI50-11.A15B06n-2,,44.5,0.5500000000000002,0.0028022830027675588,-0.2458736375951423
0,RGI50-11.A15B06n-3,,31.25,0.7500000000000002,0.0070509976127772905,-0.3900149494018832
0,RGI50-11.A15B06n-4,,57.5,0.7500000000000002,0.0010547195792578053,-0.15084276140568698
0,RGI50-11.A15B06n-5,,56.0,0.6500000000000001,2.690338936578598e-05,-0.02409125745094433
0,RGI50-11.A15B06n-6,,47.25,0.5500000000000002,0.0012878512967319715,-0.16668204878201248
0,RGI50-11.A2201-0,,59.5,2.5500000000000003,0.00037529496427203817,0.024868461076714064
0,RGI50-11.A2201-1,,77.25,2.0500000000000003,0.00046612188754931633,0.027714834565062647
0,RGI50-11.A2202,,41.25,0.9500000000000002,0.002594371507802944,-0.4226968740814187
0,RGI50-11.A50H06,,29.25,1.0500000000000005,1.7259050926769073e-05,-0.03286449958160295
0,RGI50-11.A50I01,,47.5,1.2500000000000002,2.5696409039199317e-06,-0.01406889548258182
0,RGI50-11.A50I02,,77.0,2.2500000000000004,1.3036201523504352,-6.755987356452707
0,RGI50-11.A50I04,,4.75,0.2500000000000001,0.00927157442240442,-0.799742650050871
0,RGI50-11.A50I12,,61.25,1.0500000000000005,0.031464244813955766,-0.8450768750234549
0,RGI50-11.A50I14,,7.75,0.35000000000000003,8.17637976919644e-05,-0.04752869194180915
0,RGI50-11.A50I20-0,,27.25,0.8500000000000002,0.007720240809055163,-0.4561093277287897
0,RGI50-11.A50I20-1,,13.0,0.4500000000000001,0.002679547237284337,-0.2687102538415668
0,RGI50-11.A50I20-2,,50.0,1.3500000000000003,0.00037317486440817887,-0.10027893715375362
0,RGI50-11.A50K05,,78.75,2.5500000000000003,0.9154235969661976,-5.714835238002657
0,RGI50-11.A51B01-0,,17.25,0.8500000000000002,4.873833312807173e-05,-0.051476806443292784
0,RGI50-11.A51B01-1,,7.5,0.35000000000000003,0.0006897850301027969,-0.19365697443082985
0,RGI50-11.A51B01-2,,30.0,1.5500000000000005,8.158284238349581e-08,-0.0021060839384090656
0,RGI50-11.A51B01-3,,24.75,1.6500000000000004,6.892730068477921e-05,-0.06121697924436521
0,RGI50-11.A51C01-0,,8.0,0.2500000000000001,0.0973629774867178,-1.8177234717281716
0,RGI50-11.A51C01-1,,73.5,1.8500000000000003,0.03764595142499133,-1.130290378115849
0,RGI50-11.A51C07,,67.75,0.6500000000000001,0.020212450183163654,-4.575812580630912
